headline,link,source,is_sarcastic,is_domestic,is_foreign,is_politics
Ook mysterieuze metalen monoliet opgedoken bij het Friese dorpje Oudehorne,https://nu.nl/binnenland/6094927/ook-mysterieuze-metalen-monoliet-opgedoken-bij-het-friese-dorpje-oudehorne.html,Nu.nl,0,1,0,0
Politie doet onderzoek naar racistische bekladding van pand in Amsterdam,https://nu.nl/binnenland/6094921/politie-doet-onderzoek-naar-racistische-bekladding-van-pand-in-amsterdam.html,Nu.nl,0,1,0,0
Rondvliegende kogel raakt muur boven bed van 87-jarige vrouw,https://nu.nl/binnenland/6094897/rondvliegende-kogel-raakt-muur-boven-bed-van-87-jarige-vrouw.html,Nu.nl,0,1,0,0
"Weekweerbericht: Koude week, in Limburg maandag kans op (natte) sneeuw",https://nu.nl/binnenland/6094881/weekweerbericht-koude-week-in-limburg-maandag-kans-op-natte-sneeuw.html,Nu.nl,0,1,0,0
"Weerbericht: Ochtend begint met lichte vorst, later zonnige perioden",https://nu.nl/binnenland/6094863/weerbericht-ochtend-begint-met-lichte-vorst-later-zonnige-perioden.html,Nu.nl,0,1,0,0
"ME weer in actie op Urk door overlastgevende jongeren, meerdere arrestaties",https://nu.nl/binnenland/6094861/me-weer-in-actie-op-urk-door-overlastgevende-jongeren-meerdere-arrestaties.html,Nu.nl,0,1,0,0
'Stukken bos kaalgekapt in Estland voor Nederlandse biomassacentrales',https://nu.nl/binnenland/6094844/stukken-bos-kaalgekapt-in-estland-voor-nederlandse-biomassacentrales.html,Nu.nl,0,1,0,0
Frans duo op A4 aangehouden met 40.000 euro verstopt in auto,https://nu.nl/binnenland/6094818/frans-duo-op-a4-aangehouden-met-40000-euro-verstopt-in-auto.html,Nu.nl,0,1,0,0
"RIVM meldt 6.577 nieuwe positieve tests, opnieuw meer dan gemiddeld (5.341)",https://nu.nl/binnenland/6094798/rivm-meldt-6577-nieuwe-positieve-tests-opnieuw-meer-dan-gemiddeld-5341.html,Nu.nl,0,1,0,0
Halsema: Jeugd wil geen door gemeente georganiseerd Oud en Nieuw,https://nu.nl/algemeen/6094766/halsema-jeugd-wil-geen-door-gemeente-georganiseerd-oud-en-nieuw.html,Nu.nl,0,1,0,0
'Meer diversiteit op kieslijsten voor Tweede Kamerverkiezingen',https://nu.nl/politiek/6094752/meer-diversiteit-op-kieslijsten-voor-tweede-kamerverkiezingen.html,Nu.nl,0,1,0,0
"Weerbericht: Natte sneeuw in noordoosten, rest van het land blijft droog",https://nu.nl/binnenland/6094748/weerbericht-natte-sneeuw-in-noordoosten-rest-van-het-land-blijft-droog.html,Nu.nl,0,1,0,0
'Tientallen handlangers Syrisch regime wonen als vluchteling in Nederland',https://nu.nl/binnenland/6094742/tientallen-handlangers-syrisch-regime-wonen-als-vluchteling-in-nederland.html,Nu.nl,0,1,0,0
Weekendweerbericht: Waterkoud en droog met kleine kans op natte sneeuw,https://nu.nl/binnenland/6094731/weekendweerbericht-waterkoud-en-droog-met-kleine-kans-op-natte-sneeuw.html,Nu.nl,0,1,0,0
Waarom Nederland (nog) geen massale vaccinatiecentra opbouwt,https://nu.nl/coronavirus/6094596/waarom-nederland-nog-geen-massale-vaccinatiecentra-opbouwt.html,Nu.nl,0,1,0,0
Verdachte steekpartij Haagse supermarkt wordt poging tot doodslag verweten,https://nu.nl/binnenland/6094682/verdachte-steekpartij-haagse-supermarkt-wordt-poging-tot-doodslag-verweten.html,Nu.nl,0,1,0,0
"RIVM meldt 5.935 nieuwe positieve tests, fors meer dan gemiddeld (5.017)",https://nu.nl/coronavirus/6094612/rivm-meldt-5935-nieuwe-positieve-tests-fors-meer-dan-gemiddeld-5017.html,Nu.nl,0,1,0,0
Wandelaar vindt onderkaak van voor Christus op strand Noordwijk,https://nu.nl/wetenschap/6094633/wandelaar-vindt-onderkaak-van-voor-christus-op-strand-noordwijk.html,Nu.nl,0,1,0,0
Imam Yassin El Forkani vertrekt mede door bedreigingen bij Blauwe Moskee,https://nu.nl/binnenland/6094628/imam-yassin-el-forkani-vertrekt-mede-door-bedreigingen-bij-blauwe-moskee.html,Nu.nl,0,1,0,0
Verdachte martelcontainer hekelt karaktermoord en toont beelden uit jeugd,https://nu.nl/binnenland/6094611/verdachte-martelcontainer-hekelt-karaktermoord-en-toont-beelden-uit-jeugd.html,Nu.nl,0,1,0,0
"Hoofdverdachte over martelcontainers: 'Geïsoleerd, ze mogen schreeuwen'",https://nu.nl/binnenland/6094571/hoofdverdachte-over-martelcontainers-geisoleerd-ze-mogen-schreeuwen.html,Nu.nl,0,1,0,0
"RIVM koopt 240.000 extra griepvaccins, laatste levering in januari",https://nu.nl/binnenland/6094579/rivm-koopt-240000-extra-griepvaccins-laatste-levering-in-januari.html,Nu.nl,0,1,0,0
Politie ontmantelt drugsorganisatie en doet grootste ketaminevangst ooit,https://nu.nl/binnenland/6094551/politie-ontmantelt-drugsorganisatie-en-doet-grootste-ketaminevangst-ooit.html,Nu.nl,0,1,0,0
20 jaar cel en tbs voor 'sadistisch' in brand steken van Bredase garagehouder,https://nu.nl/binnenland/6094539/20-jaar-cel-en-tbs-voor-sadistisch-in-brand-steken-van-bredase-garagehouder.html,Nu.nl,0,1,0,0
'Advocaten van kroongetuige Nabil B. en Peter R. de Vries staan op dodenlijst',https://nu.nl/binnenland/6094534/advocaten-van-kroongetuige-nabil-b-en-peter-r-de-vries-staan-op-dodenlijst.html,Nu.nl,0,1,0,0
Meerdere OMT-leden bedreigd en thuis opgezocht,https://nu.nl/coronavirus/6094245/meerdere-omt-leden-bedreigd-en-thuis-opgezocht.html,Nu.nl,0,1,0,0
Weerbericht: Veel bewolking met langs de kust kans op harde windstoten,https://nu.nl/binnenland/6094519/weerbericht-veel-bewolking-met-langs-de-kust-kans-op-harde-windstoten.html,Nu.nl,0,1,0,0
"Oversterfte iets toegenomen, maar nog altijd lager dan in eerste coronagolf",https://nu.nl/coronavirus/6094516/oversterfte-iets-toegenomen-maar-nog-altijd-lager-dan-in-eerste-coronagolf.html,Nu.nl,0,1,0,0
Huisartsenvereniging: Genoeg griepvaccins om alle 60-plussers mee in te enten,https://nu.nl/coronavirus/6094475/huisartsenvereniging-genoeg-griepvaccins-om-alle-60-plussers-mee-in-te-enten.html,Nu.nl,0,1,0,0
Feestende Vindicat-leden negeren coronaregels in feestbus,https://nu.nl/coronavirus/6094466/feestende-vindicat-leden-negeren-coronaregels-in-feestbus.html,Nu.nl,0,1,0,0
Marco Kroon: Operatie aan hand nodig als gevolg van arrestatie,https://nu.nl/binnenland/6094453/marco-kroon-operatie-aan-hand-nodig-als-gevolg-van-arrestatie.html,Nu.nl,0,1,0,0
"Ook RIVM wil start vaccinatie in week van 4 januari, 'maar veel puzzelstukjes'",https://nu.nl/coronavirus/6094445/ook-rivm-wil-start-vaccinatie-in-week-van-4-januari-maar-veel-puzzelstukjes.html,Nu.nl,0,1,0,0
Enschedeër slaags met supermarktmedewerker om niet dragen mondkapje,https://nu.nl/binnenland/6094437/enschedeer-slaags-met-supermarktmedewerker-om-niet-dragen-mondkapje.html,Nu.nl,0,1,0,0
Winkels in Rotterdam mogen op dag voor Sinterklaas toch later dicht,https://nu.nl/coronavirus/6094436/winkels-in-rotterdam-mogen-op-dag-voor-sinterklaas-toch-later-dicht.html,Nu.nl,0,1,0,0
Groot onderzoek naar verspreiding aerosolen in Johan Cruijff ArenA,https://nu.nl/coronavirus/6094427/groot-onderzoek-naar-verspreiding-aerosolen-in-johan-cruijff-arena.html,Nu.nl,0,1,0,0
"RIVM meldt 5.641 nieuwe positieve tests, fors meer dan gemiddeld (5.016)",https://nu.nl/coronavirus/6094387/rivm-meldt-5641-nieuwe-positieve-tests-fors-meer-dan-gemiddeld-5016.html,Nu.nl,0,1,0,0
Pand van The Black Archives in Amsterdam beklad met verf en stickers,https://nu.nl/binnenland/6094363/pand-van-the-black-archives-in-amsterdam-beklad-met-verf-en-stickers.html,Nu.nl,0,1,0,0
Winkels in Rotterdam moeten op de dag voor Sinterklaas eerder dicht,https://nu.nl/coronavirus/6094382/winkels-in-rotterdam-moeten-op-de-dag-voor-sinterklaas-eerder-dicht.html,Nu.nl,0,1,0,0
OM eist dertig jaar voor doodschieten dakloze man in bestelbus met drugs,https://nu.nl/binnenland/6094351/om-eist-dertig-jaar-voor-doodschieten-dakloze-man-in-bestelbus-met-drugs.html,Nu.nl,0,1,0,0
Overijsselse FVD-fractievoorzitter door landelijk bestuur uit de partij gezet,https://nu.nl/politiek/6094336/overijsselse-fvd-fractievoorzitter-door-landelijk-bestuur-uit-de-partij-gezet.html,Nu.nl,0,1,0,0
